ID                                     0x45e8
Delivery_person_ID             INDORES03DEL02
Delivery_person_Age                 34.000000
Delivery_person_Ratings              4.600000
Restaurant_latitude                 22.751857
Restaurant_longitude                75.866699
Delivery_location_latitude          22.881857
Delivery_location_longitude         75.996699
Order_Date                         14-03-2022
Time_Orderd                             21:50
Time_Order_picked                       21:55
Weather conditions                     Cloudy
Road_traffic_density                      Jam
Vehicle_condition                           0
Type_of_order                          Buffet
Type_of_vehicle                    motorcycle
multiple_deliveries                       NaN
Festival                                   No
City                            Metropolitian
Time_taken (min)                    46.000000
Name: 45037, dtype: object
