ID                                        0x404
Delivery_person_ID               CHENRES04DEL01
Delivery_person_Age                   50.000000
Delivery_person_Ratings                6.000000
Restaurant_latitude                  -13.029780
Restaurant_longitude                 -80.208812
Delivery_location_latitude            13.099780
Delivery_location_longitude           80.278812
Order_Date                           18-03-2022
Time_Orderd                                 NaN
Time_Order_picked                         23:55
Weather conditions                          NaN
Road_traffic_density                        NaN
Vehicle_condition                             3
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      20.000000
Name: 36074, dtype: object
