ID                                    0xbf15
Delivery_person_ID             KOCRES12DEL01
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude                 9.988483
Restaurant_longitude               76.295211
Delivery_location_latitude         10.058483
Delivery_location_longitude        76.365211
Order_Date                        12-02-2022
Time_Orderd                              NaN
Time_Order_picked                      20:05
Weather conditions                       NaN
Road_traffic_density                     NaN
Vehicle_condition                          3
Type_of_order                           Meal
Type_of_vehicle                      bicycle
multiple_deliveries                 2.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   43.000000
Name: 44061, dtype: object
