ID                                    0x8abf
Delivery_person_ID             MYSRES17DEL02
Delivery_person_Age                36.000000
Delivery_person_Ratings             4.000000
Restaurant_latitude                12.326356
Restaurant_longitude               76.619103
Delivery_location_latitude         12.376356
Delivery_location_longitude        76.669103
Order_Date                        28-03-2022
Time_Orderd                            19:55
Time_Order_picked                      20:05
Weather conditions                Sandstorms
Road_traffic_density                     Jam
Vehicle_condition                          0
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 2.000000
Festival                                 Yes
City                           Metropolitian
Time_taken (min)                   44.000000
Name: 9021, dtype: object
