ID                                      0xf09
Delivery_person_ID             INDORES04DEL03
Delivery_person_Age                 36.000000
Delivery_person_Ratings              4.700000
Restaurant_latitude                 22.753659
Restaurant_longitude                75.903365
Delivery_location_latitude          22.783659
Delivery_location_longitude         75.933365
Order_Date                         07-03-2022
Time_Orderd                             19:50
Time_Order_picked                       19:60
Weather conditions                     Stormy
Road_traffic_density                      Jam
Vehicle_condition                           2
Type_of_order                            Meal
Type_of_vehicle                       scooter
multiple_deliveries                  1.000000
Festival                                   No
City                                    Urban
Time_taken (min)                    28.000000
Name: 44988, dtype: object
