ID                                       0x5af9
Delivery_person_ID             RANCHIRES14DEL01
Delivery_person_Age                       28.00
Delivery_person_Ratings                    4.70
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.04
Delivery_location_longitude                0.04
Order_Date                           26-03-2022
Time_Orderd                               15:55
Time_Order_picked                         16:05
Weather conditions                          Fog
Road_traffic_density                     Medium
Vehicle_condition                             1
Type_of_order                              Meal
Type_of_vehicle                         scooter
multiple_deliveries                        0.00
Festival                                     No
City                              Metropolitian
Time_taken (min)                          14.00
Name: 28327, dtype: object
