ID                                    0xc1a5
Delivery_person_ID             GOARES13DEL01
Delivery_person_Age                35.000000
Delivery_person_Ratings             4.500000
Restaurant_latitude                15.506205
Restaurant_longitude               73.766668
Delivery_location_latitude         15.576205
Delivery_location_longitude        73.836668
Order_Date                        14-02-2022
Time_Orderd                            22:50
Time_Order_picked                      22:55
Weather conditions                Sandstorms
Road_traffic_density                     Low
Vehicle_condition                          1
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   20.000000
Name: 33567, dtype: object
