ID                                        0xcd1
Delivery_person_ID                SURRES06DEL03
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                   21.185047
Restaurant_longitude                  72.808590
Delivery_location_latitude            21.215047
Delivery_location_longitude           72.838590
Order_Date                           24-03-2022
Time_Orderd                                 NaN
Time_Order_picked                         18:60
Weather conditions                          NaN
Road_traffic_density                        NaN
Vehicle_condition                             3
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      21.000000
Name: 6513, dtype: object
