ID                                        0x9ce1
Delivery_person_ID             RANCHIRES010DEL02
Delivery_person_Age                    39.000000
Delivery_person_Ratings                 4.100000
Restaurant_latitude                    23.354422
Restaurant_longitude                   85.332900
Delivery_location_latitude             23.404422
Delivery_location_longitude            85.382900
Order_Date                            05-04-2022
Time_Orderd                                22:60
Time_Order_picked                          23:15
Weather conditions                        Stormy
Road_traffic_density                         Low
Vehicle_condition                              0
Type_of_order                             Drinks
Type_of_vehicle                       motorcycle
multiple_deliveries                     1.000000
Festival                                      No
City                               Metropolitian
Time_taken (min)                       28.000000
Name: 32284, dtype: object
