ID                                     0x3bbb
Delivery_person_ID             INDORES04DEL02
Delivery_person_Age                 26.000000
Delivery_person_Ratings              4.100000
Restaurant_latitude                 22.753659
Restaurant_longitude                75.903365
Delivery_location_latitude          22.883659
Delivery_location_longitude         76.033365
Order_Date                         14-03-2022
Time_Orderd                             17:40
Time_Order_picked                       17:45
Weather conditions                     Cloudy
Road_traffic_density                   Medium
Vehicle_condition                           1
Type_of_order                            Meal
Type_of_vehicle                    motorcycle
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    34.000000
Name: 42489, dtype: object
