ID                                       0xd0bb
Delivery_person_ID                AGRRES12DEL02
Delivery_person_Age                   26.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                   27.165108
Restaurant_longitude                  78.015053
Delivery_location_latitude            27.215108
Delivery_location_longitude           78.065053
Order_Date                           11-02-2022
Time_Orderd                               21:10
Time_Order_picked                         21:25
Weather conditions                          Fog
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      30.000000
Name: 32979, dtype: object
