ID                                    0xc7e7
Delivery_person_ID             DEHRES09DEL03
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude                30.332735
Restaurant_longitude               78.054222
Delivery_location_latitude         30.472735
Delivery_location_longitude        78.194222
Order_Date                        14-02-2022
Time_Orderd                              NaN
Time_Order_picked                      21:05
Weather conditions                       Fog
Road_traffic_density                     Jam
Vehicle_condition                          0
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 2.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   40.000000
Name: 2640, dtype: object
