ID                                     0xcf6
Delivery_person_ID             HYDRES13DEL02
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude                17.431477
Restaurant_longitude               78.400350
Delivery_location_latitude         17.511477
Delivery_location_longitude        78.480350
Order_Date                        29-03-2022
Time_Orderd                              NaN
Time_Order_picked                      22:55
Weather conditions                     Sunny
Road_traffic_density                     Low
Vehicle_condition                          1
Type_of_order                          Snack
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   15.000000
Name: 12487, dtype: object
