ID                                    0xc7e2
Delivery_person_ID             BHPRES18DEL03
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude                23.234631
Restaurant_longitude               77.401663
Delivery_location_latitude         23.264631
Delivery_location_longitude        77.431663
Order_Date                        13-02-2022
Time_Orderd                              NaN
Time_Order_picked                      18:15
Weather conditions                Sandstorms
Road_traffic_density                  Medium
Vehicle_condition                          2
Type_of_order                          Snack
Type_of_vehicle                      scooter
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   30.000000
Name: 10926, dtype: object
