ID                                       0x5d5a
Delivery_person_ID             RANCHIRES14DEL03
Delivery_person_Age                       39.00
Delivery_person_Ratings                    4.40
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.03
Delivery_location_longitude                0.03
Order_Date                           03-04-2022
Time_Orderd                               17:40
Time_Order_picked                         17:45
Weather conditions                       Stormy
Road_traffic_density                     Medium
Vehicle_condition                             0
Type_of_order                             Snack
Type_of_vehicle                      motorcycle
multiple_deliveries                        1.00
Festival                                     No
City                              Metropolitian
Time_taken (min)                          34.00
Name: 7406, dtype: object
