ID                                    0xc2c7
Delivery_person_ID             AGRRES17DEL03
Delivery_person_Age                38.000000
Delivery_person_Ratings             4.400000
Restaurant_latitude                27.157772
Restaurant_longitude               78.047250
Delivery_location_latitude         27.187772
Delivery_location_longitude        78.077250
Order_Date                        11-02-2022
Time_Orderd                            22:20
Time_Order_picked                      22:35
Weather conditions                    Stormy
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   22.000000
Name: 24285, dtype: object
