ID                                       0xc45b
Delivery_person_ID               LUDHRES16DEL01
Delivery_person_Age                   38.000000
Delivery_person_Ratings                5.000000
Restaurant_latitude                   30.895817
Restaurant_longitude                  75.813112
Delivery_location_latitude            31.005817
Delivery_location_longitude           75.923112
Order_Date                           12-02-2022
Time_Orderd                               20:15
Time_Order_picked                         20:30
Weather conditions                        Sunny
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      28.000000
Name: 29907, dtype: object
