ID                                    0xb9fd
Delivery_person_ID             JAPRES13DEL01
Delivery_person_Age                36.000000
Delivery_person_Ratings             4.700000
Restaurant_latitude                26.846156
Restaurant_longitude               75.802300
Delivery_location_latitude         26.886156
Delivery_location_longitude        75.842300
Order_Date                        09-03-2022
Time_Orderd                            14:55
Time_Order_picked                      14:60
Weather conditions                Sandstorms
Road_traffic_density                    High
Vehicle_condition                          0
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   36.000000
Name: 19208, dtype: object
