ID                                       0xb1c2
Delivery_person_ID             RANCHIRES01DEL02
Delivery_person_Age                   34.000000
Delivery_person_Ratings                5.000000
Restaurant_latitude                   23.416792
Restaurant_longitude                  85.316842
Delivery_location_latitude            23.466792
Delivery_location_longitude           85.366842
Order_Date                           30-03-2022
Time_Orderd                               19:15
Time_Order_picked                         19:25
Weather conditions                       Cloudy
Road_traffic_density                        Jam
Vehicle_condition                             1
Type_of_order                             Snack
Type_of_vehicle                         scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      37.000000
Name: 30623, dtype: object
