ID                                       0xbbad
Delivery_person_ID               CHENRES03DEL03
Delivery_person_Age                   34.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                   13.091809
Restaurant_longitude                  80.219104
Delivery_location_latitude            13.181809
Delivery_location_longitude           80.309104
Order_Date                           18-03-2022
Time_Orderd                               21:20
Time_Order_picked                         21:25
Weather conditions                        Sunny
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      28.000000
Name: 44445, dtype: object
