ID                                        0xae6
Delivery_person_ID                HYDRES19DEL01
Delivery_person_Age                   28.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   17.458998
Restaurant_longitude                  78.500366
Delivery_location_latitude            17.468998
Delivery_location_longitude           78.510366
Order_Date                           03-04-2022
Time_Orderd                               10:40
Time_Order_picked                         10:45
Weather conditions                       Stormy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      15.000000
Name: 20841, dtype: object
