ID                                     0xca53
Delivery_person_ID             AURGRES12DEL01
Delivery_person_Age                 36.000000
Delivery_person_Ratings              4.300000
Restaurant_latitude                 19.879631
Restaurant_longitude                75.323403
Delivery_location_latitude          19.919631
Delivery_location_longitude         75.363403
Order_Date                         17-02-2022
Time_Orderd                             15:10
Time_Order_picked                       15:20
Weather conditions                     Stormy
Road_traffic_density                   Medium
Vehicle_condition                           1
Type_of_order                           Snack
Type_of_vehicle                       scooter
multiple_deliveries                  1.000000
Festival                                   No
City                                      NaN
Time_taken (min)                    32.000000
Name: 5871, dtype: object
