ID                                       0xdff7
Delivery_person_ID                BHPRES12DEL02
Delivery_person_Age                       28.00
Delivery_person_Ratings                    4.60
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.02
Delivery_location_longitude                0.02
Order_Date                           11-02-2022
Time_Orderd                                9:40
Time_Order_picked                          9:55
Weather conditions                   Sandstorms
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                        0.00
Festival                                     No
City                              Metropolitian
Time_taken (min)                          11.00
Name: 29287, dtype: object
