ID                                     0x8dff
Delivery_person_ID             CHENRES04DEL01
Delivery_person_Age                 20.000000
Delivery_person_Ratings              3.800000
Restaurant_latitude                 13.029780
Restaurant_longitude                80.208812
Delivery_location_latitude          13.039780
Delivery_location_longitude         80.218812
Order_Date                         01-03-2022
Time_Orderd                             11:55
Time_Order_picked                       12:10
Weather conditions                      Sunny
Road_traffic_density                     High
Vehicle_condition                           0
Type_of_order                           Snack
Type_of_vehicle                    motorcycle
multiple_deliveries                  2.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    47.000000
Name: 17923, dtype: object
