ID                                        0x9e5
Delivery_person_ID             RANCHIRES02DEL02
Delivery_person_Age                       22.00
Delivery_person_Ratings                    4.70
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.13
Delivery_location_longitude                0.13
Order_Date                           27-03-2022
Time_Orderd                               17:35
Time_Order_picked                         17:45
Weather conditions                        Windy
Road_traffic_density                     Medium
Vehicle_condition                             1
Type_of_order                            Drinks
Type_of_vehicle                         scooter
multiple_deliveries                        1.00
Festival                                     No
City                              Metropolitian
Time_taken (min)                          25.00
Name: 4094, dtype: object
