ID                                    0xce07
Delivery_person_ID             KNPRES02DEL02
Delivery_person_Age                26.000000
Delivery_person_Ratings             4.900000
Restaurant_latitude                26.471617
Restaurant_longitude               80.313564
Delivery_location_latitude         26.521617
Delivery_location_longitude        80.363564
Order_Date                        15-02-2022
Time_Orderd                            20:55
Time_Order_picked                      21:10
Weather conditions                       Fog
Road_traffic_density                     Jam
Vehicle_condition                          1
Type_of_order                         Buffet
Type_of_vehicle                      scooter
multiple_deliveries                      NaN
Festival                                  No
City                           Metropolitian
Time_taken (min)                   25.000000
Name: 25263, dtype: object
