ID                                       0x42ae
Delivery_person_ID                MUMRES12DEL01
Delivery_person_Age                   27.000000
Delivery_person_Ratings                4.900000
Restaurant_latitude                   19.207222
Restaurant_longitude                  72.972281
Delivery_location_latitude            19.217222
Delivery_location_longitude           72.982281
Order_Date                           30-03-2022
Time_Orderd                               10:55
Time_Order_picked                         11:05
Weather conditions                       Stormy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      12.000000
Name: 23956, dtype: object
