ID                                    0x2ad6
Delivery_person_ID             MUMRES04DEL02
Delivery_person_Age                32.000000
Delivery_person_Ratings             4.800000
Restaurant_latitude                19.254567
Restaurant_longitude               72.848923
Delivery_location_latitude         19.334567
Delivery_location_longitude        72.928923
Order_Date                        02-03-2022
Time_Orderd                            21:15
Time_Order_picked                      21:25
Weather conditions                Sandstorms
Road_traffic_density                     Jam
Vehicle_condition                          2
Type_of_order                           Meal
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   25.000000
Name: 29441, dtype: object
