ID                                       0x5ade
Delivery_person_ID               PUNERES19DEL02
Delivery_person_Age                   25.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   18.563934
Restaurant_longitude                  73.915367
Delivery_location_latitude            18.693935
Delivery_location_longitude           74.045367
Order_Date                           20-03-2022
Time_Orderd                               22:40
Time_Order_picked                         22:45
Weather conditions                        Windy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      13.000000
Name: 19450, dtype: object
