ID                                      0x8de3
Delivery_person_ID             COIMBRES01DEL02
Delivery_person_Age                  21.000000
Delivery_person_Ratings               4.800000
Restaurant_latitude                  11.016298
Restaurant_longitude                 76.972076
Delivery_location_latitude           11.036298
Delivery_location_longitude          76.992076
Order_Date                          09-03-2022
Time_Orderd                               8:20
Time_Order_picked                         8:35
Weather conditions                      Stormy
Road_traffic_density                       Low
Vehicle_condition                            1
Type_of_order                           Buffet
Type_of_vehicle                        scooter
multiple_deliveries                   0.000000
Festival                                   NaN
City                                     Urban
Time_taken (min)                     10.000000
Name: 41301, dtype: object
