ID                                      0xc6c2
Delivery_person_ID             LUDHRES010DEL02
Delivery_person_Age                  32.000000
Delivery_person_Ratings               4.500000
Restaurant_latitude                  30.892860
Restaurant_longitude                 75.822199
Delivery_location_latitude           30.942860
Delivery_location_longitude          75.872199
Order_Date                          17-02-2022
Time_Orderd                              22:55
Time_Order_picked                        22:60
Weather conditions                      Stormy
Road_traffic_density                       Low
Vehicle_condition                            0
Type_of_order                            Snack
Type_of_vehicle                     motorcycle
multiple_deliveries                   0.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     26.000000
Name: 19654, dtype: object
