ID                                     0xb4a4
Delivery_person_ID             BANGRES11DEL02
Delivery_person_Age                 34.000000
Delivery_person_Ratings              4.900000
Restaurant_latitude                 12.934365
Restaurant_longitude                77.616155
Delivery_location_latitude          12.954365
Delivery_location_longitude         77.636155
Order_Date                         30-03-2022
Time_Orderd                             11:60
Time_Order_picked                       12:05
Weather conditions                 Sandstorms
Road_traffic_density                     High
Vehicle_condition                           1
Type_of_order                          Buffet
Type_of_vehicle                       scooter
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    30.000000
Name: 26244, dtype: object
