ID                                     0x5bb8
Delivery_person_ID             INDORES15DEL02
Delivery_person_Age                 22.000000
Delivery_person_Ratings              4.600000
Restaurant_latitude                 22.760072
Restaurant_longitude                75.892574
Delivery_location_latitude          22.780072
Delivery_location_longitude         75.912574
Order_Date                         21-03-2022
Time_Orderd                             10:15
Time_Order_picked                       10:20
Weather conditions                      Windy
Road_traffic_density                      Low
Vehicle_condition                           2
Type_of_order                           Snack
Type_of_vehicle                       scooter
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    19.000000
Name: 30539, dtype: object
