ID                                       0xcac2
Delivery_person_ID                ALHRES07DEL03
Delivery_person_Age                   24.000000
Delivery_person_Ratings                5.000000
Restaurant_latitude                   25.449659
Restaurant_longitude                  81.839744
Delivery_location_latitude            25.509659
Delivery_location_longitude           81.899744
Order_Date                           11-02-2022
Time_Orderd                               21:10
Time_Order_picked                         21:25
Weather conditions                       Stormy
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      11.000000
Name: 29566, dtype: object
