ID                                    0x5fcd
Delivery_person_ID             JAPRES13DEL01
Delivery_person_Age                23.000000
Delivery_person_Ratings             4.700000
Restaurant_latitude                26.846156
Restaurant_longitude               75.802300
Delivery_location_latitude         26.886156
Delivery_location_longitude        75.842300
Order_Date                        05-03-2022
Time_Orderd                            15:20
Time_Order_picked                      15:35
Weather conditions                    Cloudy
Road_traffic_density                  Medium
Vehicle_condition                          1
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   13.000000
Name: 36295, dtype: object
