ID                                      0x2c48
Delivery_person_ID             COIMBRES19DEL01
Delivery_person_Age                  37.000000
Delivery_person_Ratings               4.600000
Restaurant_latitude                  11.022298
Restaurant_longitude                 76.998349
Delivery_location_latitude           11.132298
Delivery_location_longitude          77.108349
Order_Date                          06-03-2022
Time_Orderd                              17:35
Time_Order_picked                        17:40
Weather conditions                       Sunny
Road_traffic_density                    Medium
Vehicle_condition                            2
Type_of_order                             Meal
Type_of_vehicle                        scooter
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     26.000000
Name: 31984, dtype: object
