ID                                       0xab6d
Delivery_person_ID               INDORES08DEL02
Delivery_person_Age                   39.000000
Delivery_person_Ratings                5.000000
Restaurant_latitude                   22.725748
Restaurant_longitude                  75.898497
Delivery_location_latitude            22.745748
Delivery_location_longitude           75.918497
Order_Date                           15-03-2022
Time_Orderd                               10:55
Time_Order_picked                         11:10
Weather conditions                          Fog
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      16.000000
Name: 20198, dtype: object
