ID                                    0xc6a7
Delivery_person_ID             DEHRES18DEL02
Delivery_person_Age                    20.00
Delivery_person_Ratings                 4.40
Restaurant_latitude                     0.00
Restaurant_longitude                    0.00
Delivery_location_latitude              0.08
Delivery_location_longitude             0.08
Order_Date                        14-02-2022
Time_Orderd                            21:40
Time_Order_picked                      21:45
Weather conditions                       Fog
Road_traffic_density                     Jam
Vehicle_condition                          1
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                     1.00
Festival                                  No
City                           Metropolitian
Time_taken (min)                       34.00
Name: 21510, dtype: object
