ID                                     0xc6c8
Delivery_person_ID             LUDHRES05DEL03
Delivery_person_Age                 35.000000
Delivery_person_Ratings              4.900000
Restaurant_latitude                 30.905562
Restaurant_longitude                75.832841
Delivery_location_latitude          31.045562
Delivery_location_longitude         75.972841
Order_Date                         14-02-2022
Time_Orderd                             23:35
Time_Order_picked                       23:45
Weather conditions                 Sandstorms
Road_traffic_density                      Low
Vehicle_condition                           0
Type_of_order                           Snack
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                                    Urban
Time_taken (min)                    21.000000
Name: 29063, dtype: object
