ID                                       0x6f6d
Delivery_person_ID                JAPRES08DEL02
Delivery_person_Age                   38.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   26.910262
Restaurant_longitude                  75.783013
Delivery_location_latitude            26.930262
Delivery_location_longitude           75.803013
Order_Date                           09-03-2022
Time_Orderd                                9:55
Time_Order_picked                          9:60
Weather conditions                        Windy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      23.000000
Name: 27461, dtype: object
