ID                                    0xc05c
Delivery_person_ID             KNPRES18DEL02
Delivery_person_Age                20.000000
Delivery_person_Ratings             4.600000
Restaurant_latitude               -26.474133
Restaurant_longitude               80.348100
Delivery_location_latitude         26.604133
Delivery_location_longitude        80.478100
Order_Date                        12-02-2022
Time_Orderd                            19:20
Time_Order_picked                      19:35
Weather conditions                Sandstorms
Road_traffic_density                     Jam
Vehicle_condition                          1
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   22.000000
Name: 42736, dtype: object
