ID                                      0x89ea
Delivery_person_ID             COIMBRES16DEL02
Delivery_person_Age                  37.000000
Delivery_person_Ratings               4.600000
Restaurant_latitude                  11.010375
Restaurant_longitude                 76.952950
Delivery_location_latitude           11.140375
Delivery_location_longitude          77.082950
Order_Date                          06-03-2022
Time_Orderd                              20:20
Time_Order_picked                        20:25
Weather conditions                         Fog
Road_traffic_density                       Jam
Vehicle_condition                            0
Type_of_order                           Buffet
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                                Semi-Urban
Time_taken (min)                     52.000000
Name: 4774, dtype: object
