ID                                       0xe000
Delivery_person_ID                BHPRES11DEL02
Delivery_person_Age                   20.000000
Delivery_person_Ratings                4.000000
Restaurant_latitude                   23.233219
Restaurant_longitude                  77.433571
Delivery_location_latitude            23.313219
Delivery_location_longitude           77.513571
Order_Date                           18-02-2022
Time_Orderd                               19:45
Time_Order_picked                         19:60
Weather conditions                          Fog
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      34.000000
Name: 33432, dtype: object
