ID                                    0xe1c2
Delivery_person_ID             AGRRES01DEL01
Delivery_person_Age                34.000000
Delivery_person_Ratings             4.600000
Restaurant_latitude                27.161661
Restaurant_longitude               78.011544
Delivery_location_latitude         27.201661
Delivery_location_longitude        78.051544
Order_Date                        15-02-2022
Time_Orderd                            16:30
Time_Order_picked                      16:35
Weather conditions                    Stormy
Road_traffic_density                  Medium
Vehicle_condition                          2
Type_of_order                         Buffet
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   30.000000
Name: 40008, dtype: object
