ID                                      0xbb04
Delivery_person_ID             COIMBRES05DEL02
Delivery_person_Age                  38.000000
Delivery_person_Ratings               4.200000
Restaurant_latitude                  11.022169
Restaurant_longitude                 76.999594
Delivery_location_latitude           11.072169
Delivery_location_longitude          77.049594
Order_Date                          17-03-2022
Time_Orderd                              23:35
Time_Order_picked                        23:40
Weather conditions                       Windy
Road_traffic_density                       Low
Vehicle_condition                            0
Type_of_order                             Meal
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                                     Urban
Time_taken (min)                     20.000000
Name: 7210, dtype: object
