ID                                       0xbc22
Delivery_person_ID               SURRES010DEL01
Delivery_person_Age                   32.000000
Delivery_person_Ratings                4.900000
Restaurant_latitude                   21.171060
Restaurant_longitude                  72.789292
Delivery_location_latitude            21.181060
Delivery_location_longitude           72.799292
Order_Date                           03-04-2022
Time_Orderd                               10:50
Time_Order_picked                         10:55
Weather conditions                   Sandstorms
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      25.000000
Name: 37105, dtype: object
