ID                                    0x607d
Delivery_person_ID             VADRES18DEL01
Delivery_person_Age                    37.00
Delivery_person_Ratings                 4.60
Restaurant_latitude                     0.00
Restaurant_longitude                    0.00
Delivery_location_latitude              0.01
Delivery_location_longitude             0.01
Order_Date                        03-03-2022
Time_Orderd                            10:10
Time_Order_picked                      10:15
Weather conditions                       Fog
Road_traffic_density                     Low
Vehicle_condition                          2
Type_of_order                         Drinks
Type_of_vehicle                      scooter
multiple_deliveries                     1.00
Festival                                  No
City                           Metropolitian
Time_taken (min)                       15.00
Name: 11704, dtype: object
