ID                                       0x7fa7
Delivery_person_ID             RANCHIRES12DEL01
Delivery_person_Age                       38.00
Delivery_person_Ratings                    4.70
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.04
Delivery_location_longitude                0.04
Order_Date                           19-03-2022
Time_Orderd                               15:25
Time_Order_picked                         15:35
Weather conditions                       Cloudy
Road_traffic_density                     Medium
Vehicle_condition                             1
Type_of_order                              Meal
Type_of_vehicle                         scooter
multiple_deliveries                        0.00
Festival                                     No
City                                      Urban
Time_taken (min)                          15.00
Name: 15548, dtype: object
