ID                                    0x5d1e
Delivery_person_ID             MUMRES19DEL01
Delivery_person_Age                36.000000
Delivery_person_Ratings             4.600000
Restaurant_latitude                19.131141
Restaurant_longitude               72.813074
Delivery_location_latitude         19.141140
Delivery_location_longitude        72.823074
Order_Date                        30-03-2022
Time_Orderd                            11:25
Time_Order_picked                      11:30
Weather conditions                     Windy
Road_traffic_density                    High
Vehicle_condition                          0
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   44.000000
Name: 29869, dtype: object
