ID                                       0xa48a
Delivery_person_ID               CHENRES05DEL01
Delivery_person_Age                   21.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   13.058616
Restaurant_longitude                  80.264151
Delivery_location_latitude            13.068616
Delivery_location_longitude           80.274151
Order_Date                           19-03-2022
Time_Orderd                               11:50
Time_Order_picked                         11:60
Weather conditions                        Windy
Road_traffic_density                       High
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      23.000000
Name: 3300, dtype: object
