ID                                       0x76ce
Delivery_person_ID               CHENRES15DEL03
Delivery_person_Age                   21.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   13.026286
Restaurant_longitude                  80.275235
Delivery_location_latitude            13.086286
Delivery_location_longitude           80.335235
Order_Date                           03-03-2022
Time_Orderd                               22:60
Time_Order_picked                         23:10
Weather conditions                        Sunny
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      19.000000
Name: 33401, dtype: object
