ID                                    0xdccb
Delivery_person_ID             DEHRES17DEL01
Delivery_person_Age                21.000000
Delivery_person_Ratings             5.000000
Restaurant_latitude                30.327968
Restaurant_longitude               78.046106
Delivery_location_latitude         30.367968
Delivery_location_longitude        78.086106
Order_Date                        13-02-2022
Time_Orderd                            12:60
Time_Order_picked                      13:15
Weather conditions                Sandstorms
Road_traffic_density                    High
Vehicle_condition                          0
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   31.000000
Name: 14298, dtype: object
