ID                                    0xdcde
Delivery_person_ID             KOCRES09DEL01
Delivery_person_Age                23.000000
Delivery_person_Ratings             4.700000
Restaurant_latitude                10.000706
Restaurant_longitude               76.349516
Delivery_location_latitude         10.040706
Delivery_location_longitude        76.389516
Order_Date                        11-02-2022
Time_Orderd                            14:20
Time_Order_picked                      14:35
Weather conditions                    Cloudy
Road_traffic_density                    High
Vehicle_condition                          2
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   31.000000
Name: 34977, dtype: object
