ID                                    0x8ac9
Delivery_person_ID             JAPRES08DEL01
Delivery_person_Age                37.000000
Delivery_person_Ratings             3.500000
Restaurant_latitude                26.910262
Restaurant_longitude               75.783013
Delivery_location_latitude         26.980262
Delivery_location_longitude        75.853013
Order_Date                        02-03-2022
Time_Orderd                            19:35
Time_Order_picked                      19:50
Weather conditions                    Stormy
Road_traffic_density                     Jam
Vehicle_condition                          2
Type_of_order                          Snack
Type_of_vehicle                      scooter
multiple_deliveries                 2.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   40.000000
Name: 44449, dtype: object
