ID                                    0xaaee
Delivery_person_ID             MUMRES05DEL02
Delivery_person_Age                29.000000
Delivery_person_Ratings             4.800000
Restaurant_latitude                18.927584
Restaurant_longitude               72.832585
Delivery_location_latitude         18.947584
Delivery_location_longitude        72.852585
Order_Date                        07-03-2022
Time_Orderd                            10:25
Time_Order_picked                      10:35
Weather conditions                       Fog
Road_traffic_density                     Low
Vehicle_condition                          2
Type_of_order                         Drinks
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   16.000000
Name: 22846, dtype: object
