ID                                        0x41a
Delivery_person_ID               INDORES20DEL02
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                   22.732225
Restaurant_longitude                  75.874765
Delivery_location_latitude            22.812225
Delivery_location_longitude           75.954765
Order_Date                           08-03-2022
Time_Orderd                                 NaN
Time_Order_picked                         19:15
Weather conditions                          NaN
Road_traffic_density                        NaN
Vehicle_condition                             3
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    3.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      53.000000
Name: 27052, dtype: object
