ID                                       0xd53b
Delivery_person_ID                GOARES13DEL01
Delivery_person_Age                   27.000000
Delivery_person_Ratings                4.900000
Restaurant_latitude                   15.506205
Restaurant_longitude                  73.766668
Delivery_location_latitude            15.576205
Delivery_location_longitude           73.836668
Order_Date                           12-02-2022
Time_Orderd                               17:40
Time_Order_picked                         17:45
Weather conditions                        Windy
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      18.000000
Name: 43770, dtype: object
