ID                                       0xc0e2
Delivery_person_ID               AURGRES14DEL01
Delivery_person_Age                   29.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                  -19.875016
Restaurant_longitude                  75.322405
Delivery_location_latitude            19.985016
Delivery_location_longitude           75.432405
Order_Date                           12-02-2022
Time_Orderd                               18:40
Time_Order_picked                         18:50
Weather conditions                       Stormy
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      21.000000
Name: 23026, dtype: object
