ID                                       0x8f3a
Delivery_person_ID              COIMBRES02DEL02
Delivery_person_Age                   33.000000
Delivery_person_Ratings                4.100000
Restaurant_latitude                   11.022477
Restaurant_longitude                  76.995667
Delivery_location_latitude            11.072477
Delivery_location_longitude           77.045667
Order_Date                           13-03-2022
Time_Orderd                               20:10
Time_Order_picked                         20:20
Weather conditions                          Fog
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      39.000000
Name: 22066, dtype: object
