ID                                      0x1cd0
Delivery_person_ID             COIMBRES03DEL02
Delivery_person_Age                  30.000000
Delivery_person_Ratings               3.600000
Restaurant_latitude                  11.025083
Restaurant_longitude                 77.015393
Delivery_location_latitude           11.105083
Delivery_location_longitude          77.095393
Order_Date                          06-04-2022
Time_Orderd                              17:10
Time_Order_picked                        17:15
Weather conditions                       Windy
Road_traffic_density                    Medium
Vehicle_condition                            1
Type_of_order                            Snack
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     39.000000
Name: 26725, dtype: object
