ID                                    0x2af1
Delivery_person_ID             HYDRES15DEL01
Delivery_person_Age                23.000000
Delivery_person_Ratings             4.900000
Restaurant_latitude                17.459710
Restaurant_longitude               78.368855
Delivery_location_latitude         17.469710
Delivery_location_longitude        78.378855
Order_Date                        19-03-2022
Time_Orderd                             9:15
Time_Order_picked                       9:30
Weather conditions                    Stormy
Road_traffic_density                     Low
Vehicle_condition                          1
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   11.000000
Name: 21767, dtype: object
