ID                                     0x5cef
Delivery_person_ID             HYDRES010DEL01
Delivery_person_Age                 23.000000
Delivery_person_Ratings              4.800000
Restaurant_latitude                 17.428294
Restaurant_longitude                78.404423
Delivery_location_latitude          17.438294
Delivery_location_longitude         78.414423
Order_Date                         17-03-2022
Time_Orderd                             11:15
Time_Order_picked                       11:20
Weather conditions                      Windy
Road_traffic_density                     High
Vehicle_condition                           2
Type_of_order                          Drinks
Type_of_vehicle                       scooter
multiple_deliveries                  1.000000
Festival                                   No
City                                    Urban
Time_taken (min)                    18.000000
Name: 26501, dtype: object
