ID                                    0x9b9b
Delivery_person_ID             MUMRES19DEL01
Delivery_person_Age                26.000000
Delivery_person_Ratings             4.200000
Restaurant_latitude                19.131141
Restaurant_longitude               72.813074
Delivery_location_latitude         19.141140
Delivery_location_longitude        72.823074
Order_Date                        13-03-2022
Time_Orderd                            11:55
Time_Order_picked                      12:05
Weather conditions                    Cloudy
Road_traffic_density                    High
Vehicle_condition                          1
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                      NaN
Festival                                  No
City                           Metropolitian
Time_taken (min)                   33.000000
Name: 21470, dtype: object
