ID                                      0x8eb9
Delivery_person_ID             COIMBRES19DEL03
Delivery_person_Age                  21.000000
Delivery_person_Ratings               4.900000
Restaurant_latitude                  11.022298
Restaurant_longitude                 76.998349
Delivery_location_latitude           11.082298
Delivery_location_longitude          77.058349
Order_Date                          03-04-2022
Time_Orderd                              18:35
Time_Order_picked                        18:50
Weather conditions                  Sandstorms
Road_traffic_density                    Medium
Vehicle_condition                            2
Type_of_order                             Meal
Type_of_vehicle                        scooter
multiple_deliveries                   0.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     20.000000
Name: 2491, dtype: object
